employee_id,review_date,review_cycle,overall_rating,goals_score,manager_score,potential_rating,bonus_percentage,promotion_recommendation,year,quarter
367,2022-06-15,Mid-Year,1,1.06,1.0,Medium,0,No,2022,2
367,2022-12-15,Annual,3,2.55,1.48,Medium,6,No,2022,4
367,2023-06-15,Mid-Year,3,2.17,3.13,Medium,6,No,2023,2
369,2021-12-15,Annual,5,3.54,3.87,High,15,No,2021,4
369,2022-06-15,Mid-Year,2,2.06,2.65,Medium,3,No,2022,2
369,2022-12-15,Annual,1,1.0,1.0,Medium,0,No,2022,4
369,2023-06-15,Mid-Year,2,1.0,1.07,Medium,3,No,2023,2
372,2021-12-15,Annual,4,2.92,2.78,Low,10,Yes,2021,4
372,2022-06-15,Mid-Year,4,3.56,2.79,Medium,10,No,2022,2
372,2022-12-15,Annual,3,2.8,2.64,Medium,6,No,2022,4
372,2023-06-15,Mid-Year,4,3.23,4.35,Low,10,No,2023,2
373,2021-12-15,Annual,3,2.53,2.52,Medium,6,No,2021,4
373,2022-06-15,Mid-Year,3,3.04,2.17,Medium,6,Yes,2022,2
373,2022-12-15,Annual,4,3.33,3.42,High,10,No,2022,4
373,2023-06-15,Mid-Year,5,3.56,4.68,High,15,No,2023,2
374,2021-12-15,Annual,3,2.35,2.73,Low,6,No,2021,4
374,2022-06-15,Mid-Year,4,3.23,3.79,Medium,10,No,2022,2
374,2022-12-15,Annual,4,2.74,3.76,Medium,10,No,2022,4
374,2023-06-15,Mid-Year,3,2.68,3.39,High,6,No,2023,2
376,2021-12-15,Annual,3,1.71,2.73,High,6,No,2021,4
376,2022-06-15,Mid-Year,5,3.74,4.34,Medium,15,No,2022,2
376,2022-12-15,Annual,4,3.01,2.95,Medium,10,No,2022,4
376,2023-06-15,Mid-Year,3,2.43,1.73,Medium,6,No,2023,2
377,2021-12-15,Annual,2,1.74,1.0,Medium,3,Yes,2021,4
377,2022-06-15,Mid-Year,1,1.0,1.28,Medium,0,No,2022,2
377,2022-12-15,Annual,3,2.09,1.7,Medium,6,No,2022,4
377,2023-06-15,Mid-Year,4,3.25,3.0,Medium,10,No,2023,2
378,2021-12-15,Annual,3,2.18,2.34,High,6,No,2021,4
378,2022-06-15,Mid-Year,5,4.23,3.85,Medium,15,Yes,2022,2
378,2022-12-15,Annual,3,2.75,2.5,High,6,No,2022,4
378,2023-06-15,Mid-Year,3,2.18,2.97,High,6,No,2023,2
379,2021-12-15,Annual,3,2.19,3.29,High,6,No,2021,4
379,2022-06-15,Mid-Year,2,1.89,2.16,Medium,3,No,2022,2
379,2022-12-15,Annual,3,1.81,2.76,Low,6,No,2022,4
379,2023-06-15,Mid-Year,3,2.43,1.83,Medium,6,Yes,2023,2
380,2021-12-15,Annual,3,2.63,2.39,Low,6,Yes,2021,4
380,2022-06-15,Mid-Year,3,2.4,3.08,High,6,No,2022,2
380,2022-12-15,Annual,3,3.08,2.38,Medium,6,No,2022,4
380,2023-06-15,Mid-Year,4,3.01,2.34,Low,10,No,2023,2
381,2021-12-15,Annual,3,2.55,2.67,Medium,6,No,2021,4
381,2022-06-15,Mid-Year,3,3.01,2.84,Medium,6,No,2022,2
381,2022-12-15,Annual,1,1.0,1.48,Low,0,No,2022,4
381,2023-06-15,Mid-Year,2,1.27,1.36,Medium,3,No,2023,2
382,2021-12-15,Annual,3,3.44,2.75,Medium,6,No,2021,4
382,2022-06-15,Mid-Year,4,3.17,3.45,Low,10,No,2022,2
382,2022-12-15,Annual,3,1.86,3.31,Medium,6,No,2022,4
382,2023-06-15,Mid-Year,2,2.15,1.4,Medium,3,No,2023,2
384,2021-12-15,Annual,4,3.28,2.91,Medium,10,No,2021,4
384,2022-06-15,Mid-Year,3,1.68,2.42,Medium,6,No,2022,2
384,2022-12-15,Annual,3,2.17,1.16,High,6,No,2022,4
384,2023-06-15,Mid-Year,4,2.76,3.15,Medium,10,No,2023,2
385,2021-12-15,Annual,3,2.58,3.24,Medium,6,No,2021,4
385,2022-06-15,Mid-Year,3,2.88,2.65,Medium,6,No,2022,2
385,2022-12-15,Annual,3,2.58,2.41,Medium,6,Yes,2022,4
385,2023-06-15,Mid-Year,1,1.0,1.01,Low,0,No,2023,2
386,2021-12-15,Annual,3,2.42,2.35,High,6,No,2021,4
386,2022-06-15,Mid-Year,3,2.78,1.52,Medium,6,No,2022,2
386,2022-12-15,Annual,3,2.13,2.58,Medium,6,No,2022,4
386,2023-06-15,Mid-Year,4,2.4,2.77,Medium,10,Yes,2023,2
387,2021-12-15,Annual,3,2.68,3.98,High,6,No,2021,4
387,2022-06-15,Mid-Year,2,1.52,1.43,Medium,3,No,2022,2
387,2022-12-15,Annual,3,1.8,2.65,Medium,6,No,2022,4
387,2023-06-15,Mid-Year,3,2.39,2.87,Low,6,No,2023,2
388,2021-12-15,Annual,2,1.76,2.75,Medium,3,No,2021,4
388,2022-06-15,Mid-Year,2,1.57,2.08,High,3,No,2022,2
388,2022-12-15,Annual,3,2.66,3.2,High,6,No,2022,4
388,2023-06-15,Mid-Year,4,2.57,3.54,Medium,10,No,2023,2
389,2021-12-15,Annual,1,1.0,1.0,Medium,0,Yes,2021,4
389,2022-06-15,Mid-Year,4,2.8,3.18,Low,10,Yes,2022,2
389,2022-12-15,Annual,1,1.0,1.0,Medium,0,No,2022,4
389,2023-06-15,Mid-Year,3,2.85,2.32,Low,6,Yes,2023,2
390,2021-12-15,Annual,5,3.96,4.44,Low,15,No,2021,4
390,2022-06-15,Mid-Year,3,2.32,2.97,Medium,6,No,2022,2
390,2022-12-15,Annual,3,2.64,2.55,Medium,6,No,2022,4
390,2023-06-15,Mid-Year,3,2.66,3.02,Medium,6,No,2023,2
391,2021-12-15,Annual,4,2.62,3.01,Medium,10,No,2021,4
391,2022-06-15,Mid-Year,2,1.25,1.59,Low,3,No,2022,2
391,2022-12-15,Annual,3,2.47,1.45,High,6,No,2022,4
391,2023-06-15,Mid-Year,3,2.16,1.95,Low,6,No,2023,2
392,2021-12-15,Annual,3,2.43,2.65,Medium,6,Yes,2021,4
392,2022-06-15,Mid-Year,3,2.58,2.73,Medium,6,No,2022,2
392,2022-12-15,Annual,3,3.15,2.62,Medium,6,No,2022,4
392,2023-06-15,Mid-Year,3,2.88,1.91,Medium,6,No,2023,2
393,2021-12-15,Annual,3,1.49,1.6,Medium,6,No,2021,4
393,2022-06-15,Mid-Year,3,1.8,1.93,Low,6,Yes,2022,2
393,2022-12-15,Annual,4,3.84,3.15,High,10,No,2022,4
393,2023-06-15,Mid-Year,4,3.11,4.01,Medium,10,No,2023,2
394,2021-12-15,Annual,5,4.13,3.34,Medium,15,No,2021,4
394,2022-06-15,Mid-Year,2,1.54,1.18,Medium,3,No,2022,2
394,2022-12-15,Annual,3,2.51,1.96,Medium,6,No,2022,4
394,2023-06-15,Mid-Year,5,3.65,3.69,Medium,15,No,2023,2
395,2021-12-15,Annual,2,1.35,2.27,Medium,3,No,2021,4
395,2022-06-15,Mid-Year,4,3.1,3.63,Medium,10,No,2022,2
395,2022-12-15,Annual,3,2.27,2.45,Low,6,No,2022,4
395,2023-06-15,Mid-Year,1,1.0,1.13,Low,0,Yes,2023,2
396,2021-12-15,Annual,3,2.35,2.48,Medium,6,No,2021,4
396,2022-06-15,Mid-Year,2,1.69,1.62,Medium,3,No,2022,2
396,2022-12-15,Annual,5,4.69,5.0,High,15,No,2022,4
396,2023-06-15,Mid-Year,3,2.22,2.21,High,6,No,2023,2
397,2021-12-15,Annual,3,2.11,2.88,Medium,6,No,2021,4
397,2022-06-15,Mid-Year,5,3.58,3.17,Medium,15,No,2022,2
397,2022-12-15,Annual,1,1.0,1.0,High,0,No,2022,4
397,2023-06-15,Mid-Year,3,1.77,2.71,Medium,6,No,2023,2
399,2021-12-15,Annual,1,1.0,1.0,Medium,0,No,2021,4
399,2022-06-15,Mid-Year,2,1.28,1.07,Medium,3,No,2022,2
399,2022-12-15,Annual,5,3.96,4.85,High,15,Yes,2022,4
399,2023-06-15,Mid-Year,3,2.52,3.57,Low,6,Yes,2023,2
401,2021-12-15,Annual,2,1.12,2.43,Medium,3,No,2021,4
401,2022-06-15,Mid-Year,3,2.65,2.47,Medium,6,No,2022,2
401,2022-12-15,Annual,3,2.65,2.69,Medium,6,No,2022,4
401,2023-06-15,Mid-Year,3,2.07,1.9,Low,6,No,2023,2
403,2021-12-15,Annual,3,2.64,2.14,Medium,6,No,2021,4
403,2022-06-15,Mid-Year,3,1.47,2.71,Medium,6,No,2022,2
403,2022-12-15,Annual,3,2.56,2.04,High,6,No,2022,4
403,2023-06-15,Mid-Year,4,3.32,3.84,Medium,10,No,2023,2
404,2021-12-15,Annual,3,2.41,2.46,Low,6,No,2021,4
404,2022-06-15,Mid-Year,3,1.97,1.97,Low,6,Yes,2022,2
404,2022-12-15,Annual,3,1.5,2.5,Medium,6,No,2022,4
404,2023-06-15,Mid-Year,3,2.28,2.5,Low,6,No,2023,2
405,2021-12-15,Annual,3,2.49,2.97,Medium,6,Yes,2021,4
405,2022-06-15,Mid-Year,3,2.16,2.83,Low,6,Yes,2022,2
405,2022-12-15,Annual,5,4.06,3.34,Medium,15,No,2022,4
405,2023-06-15,Mid-Year,5,3.66,4.44,Medium,15,No,2023,2
406,2021-12-15,Annual,3,2.48,2.63,Medium,6,No,2021,4
406,2022-06-15,Mid-Year,1,1.29,1.0,High,0,No,2022,2
406,2022-12-15,Annual,3,2.05,3.45,Low,6,No,2022,4
406,2023-06-15,Mid-Year,3,2.27,3.33,Low,6,No,2023,2
407,2021-12-15,Annual,3,3.11,3.01,Medium,6,Yes,2021,4
407,2022-06-15,Mid-Year,3,2.67,2.53,Medium,6,Yes,2022,2
407,2022-12-15,Annual,2,1.6,1.78,Medium,3,No,2022,4
407,2023-06-15,Mid-Year,5,3.61,4.7,Medium,15,No,2023,2
408,2021-12-15,Annual,2,1.3,1.67,High,3,No,2021,4
408,2022-06-15,Mid-Year,5,3.68,4.93,Medium,15,Yes,2022,2
408,2022-12-15,Annual,4,3.26,4.02,Low,10,No,2022,4
408,2023-06-15,Mid-Year,3,1.59,2.51,Low,6,No,2023,2
410,2021-12-15,Annual,3,2.36,2.91,High,6,No,2021,4
410,2022-06-15,Mid-Year,3,2.79,3.04,Medium,6,No,2022,2
410,2022-12-15,Annual,2,2.51,2.41,Low,3,No,2022,4
410,2023-06-15,Mid-Year,3,3.22,2.45,Low,6,No,2023,2
411,2021-12-15,Annual,3,2.77,1.84,Medium,6,No,2021,4
411,2022-06-15,Mid-Year,3,2.81,3.12,Medium,6,No,2022,2
411,2022-12-15,Annual,3,1.9,2.82,Medium,6,No,2022,4
411,2023-06-15,Mid-Year,3,2.26,1.94,Medium,6,No,2023,2
412,2021-12-15,Annual,3,2.98,3.71,Low,6,No,2021,4
412,2022-06-15,Mid-Year,3,2.05,2.36,Medium,6,No,2022,2
412,2022-12-15,Annual,3,1.88,2.3,Medium,6,No,2022,4
412,2023-06-15,Mid-Year,4,3.43,3.39,Medium,10,No,2023,2
416,2021-12-15,Annual,5,4.47,3.99,High,15,Yes,2021,4
416,2022-06-15,Mid-Year,3,2.4,2.5,Medium,6,No,2022,2
416,2022-12-15,Annual,5,4.26,4.52,High,15,No,2022,4
416,2023-06-15,Mid-Year,3,2.73,2.39,Medium,6,Yes,2023,2
417,2021-12-15,Annual,4,2.69,3.7,Medium,10,No,2021,4
417,2022-06-15,Mid-Year,4,2.71,3.9,Medium,10,No,2022,2
417,2022-12-15,Annual,2,1.35,2.78,Low,3,No,2022,4
417,2023-06-15,Mid-Year,3,2.42,2.46,Medium,6,No,2023,2
419,2021-12-15,Annual,3,2.56,3.38,Low,6,Yes,2021,4
419,2022-06-15,Mid-Year,3,1.76,2.22,High,6,No,2022,2
419,2022-12-15,Annual,3,1.92,2.47,Low,6,No,2022,4
419,2023-06-15,Mid-Year,3,1.77,2.69,Medium,6,No,2023,2
420,2021-12-15,Annual,3,2.15,2.25,Medium,6,No,2021,4
420,2022-06-15,Mid-Year,4,3.59,2.64,Medium,10,No,2022,2
420,2022-12-15,Annual,2,1.38,2.3,Medium,3,No,2022,4
420,2023-06-15,Mid-Year,4,2.98,3.32,High,10,No,2023,2
421,2021-12-15,Annual,3,2.92,2.75,High,6,No,2021,4
421,2022-06-15,Mid-Year,3,2.16,2.94,Medium,6,No,2022,2
421,2022-12-15,Annual,4,3.58,4.2,High,10,No,2022,4
421,2023-06-15,Mid-Year,4,3.43,4.17,Low,10,No,2023,2
422,2021-12-15,Annual,3,2.74,2.67,High,6,No,2021,4
422,2022-06-15,Mid-Year,3,2.73,2.17,Medium,6,No,2022,2
422,2022-12-15,Annual,3,1.83,2.73,Medium,6,No,2022,4
422,2023-06-15,Mid-Year,4,3.04,3.98,Medium,10,No,2023,2
423,2021-12-15,Annual,1,1.37,1.0,Medium,0,No,2021,4
423,2022-06-15,Mid-Year,3,2.48,2.35,Low,6,No,2022,2
423,2022-12-15,Annual,2,1.55,2.16,Medium,3,No,2022,4
423,2023-06-15,Mid-Year,4,3.43,2.98,High,10,No,2023,2
424,2021-12-15,Annual,1,1.61,1.0,Medium,0,No,2021,4
424,2022-06-15,Mid-Year,3,1.69,2.41,Medium,6,No,2022,2
424,2022-12-15,Annual,3,2.65,2.6,Medium,6,No,2022,4
424,2023-06-15,Mid-Year,4,3.37,3.17,Low,10,No,2023,2
425,2021-12-15,Annual,3,3.07,3.11,High,6,Yes,2021,4
425,2022-06-15,Mid-Year,3,2.45,1.73,High,6,No,2022,2
425,2022-12-15,Annual,3,1.64,3.0,High,6,No,2022,4
425,2023-06-15,Mid-Year,3,2.59,2.59,Medium,6,No,2023,2
426,2021-12-15,Annual,3,3.25,2.6,High,6,No,2021,4
426,2022-06-15,Mid-Year,4,2.97,2.88,Medium,10,No,2022,2
426,2022-12-15,Annual,3,2.78,3.23,Medium,6,No,2022,4
426,2023-06-15,Mid-Year,4,3.52,3.92,Medium,10,No,2023,2
428,2021-12-15,Annual,3,1.81,3.03,Low,6,No,2021,4
428,2022-06-15,Mid-Year,3,2.82,1.51,Medium,6,No,2022,2
428,2022-12-15,Annual,2,1.38,2.21,Low,3,No,2022,4
428,2023-06-15,Mid-Year,3,2.19,2.46,Medium,6,No,2023,2
429,2021-12-15,Annual,3,2.26,2.47,Medium,6,No,2021,4
429,2022-06-15,Mid-Year,3,2.81,2.86,Medium,6,No,2022,2
429,2022-12-15,Annual,3,2.12,3.13,Medium,6,No,2022,4
429,2023-06-15,Mid-Year,4,3.27,2.96,High,10,Yes,2023,2
430,2021-12-15,Annual,3,2.56,2.44,Medium,6,No,2021,4
430,2022-06-15,Mid-Year,3,2.72,2.73,High,6,Yes,2022,2
430,2022-12-15,Annual,5,4.03,4.05,Low,15,No,2022,4
430,2023-06-15,Mid-Year,3,2.27,3.15,Medium,6,No,2023,2
431,2021-12-15,Annual,3,2.61,2.86,Medium,6,No,2021,4
431,2022-06-15,Mid-Year,3,2.13,2.53,Medium,6,Yes,2022,2
431,2022-12-15,Annual,3,2.34,2.73,Medium,6,No,2022,4
431,2023-06-15,Mid-Year,3,2.33,3.06,Medium,6,Yes,2023,2
433,2021-12-15,Annual,5,4.23,3.81,Medium,15,No,2021,4
433,2022-06-15,Mid-Year,3,2.52,3.16,High,6,No,2022,2
433,2022-12-15,Annual,2,1.1,1.31,Medium,3,Yes,2022,4
433,2023-06-15,Mid-Year,5,4.39,3.79,High,15,No,2023,2
434,2021-12-15,Annual,2,2.08,1.44,Low,3,No,2021,4
434,2022-06-15,Mid-Year,3,2.17,2.57,Medium,6,Yes,2022,2
434,2022-12-15,Annual,5,3.75,3.48,Medium,15,No,2022,4
434,2023-06-15,Mid-Year,4,3.48,3.25,Medium,10,No,2023,2
436,2021-12-15,Annual,3,1.93,2.66,Medium,6,No,2021,4
436,2022-06-15,Mid-Year,3,2.37,2.75,Medium,6,No,2022,2
436,2022-12-15,Annual,3,2.59,2.48,Medium,6,No,2022,4
436,2023-06-15,Mid-Year,2,1.71,1.9,Low,3,No,2023,2
437,2021-12-15,Annual,2,1.64,1.41,High,3,No,2021,4
437,2022-06-15,Mid-Year,2,1.21,1.33,Medium,3,No,2022,2
437,2022-12-15,Annual,4,3.29,2.94,Low,10,No,2022,4
437,2023-06-15,Mid-Year,2,2.01,1.79,Medium,3,Yes,2023,2
438,2021-12-15,Annual,2,1.12,2.02,Medium,3,No,2021,4
438,2022-06-15,Mid-Year,3,1.74,2.25,Medium,6,No,2022,2
438,2022-12-15,Annual,3,2.11,2.88,Low,6,Yes,2022,4
438,2023-06-15,Mid-Year,2,1.68,1.17,Medium,3,No,2023,2
439,2021-12-15,Annual,3,2.05,1.64,Medium,6,No,2021,4
439,2022-06-15,Mid-Year,3,1.36,2.85,Medium,6,No,2022,2
439,2022-12-15,Annual,3,3.01,2.77,Medium,6,No,2022,4
439,2023-06-15,Mid-Year,3,2.67,1.95,Medium,6,No,2023,2
440,2021-12-15,Annual,3,3.23,2.27,Low,6,No,2021,4
440,2022-06-15,Mid-Year,3,2.61,2.15,Medium,6,No,2022,2
440,2022-12-15,Annual,4,2.46,2.86,Medium,10,No,2022,4
440,2023-06-15,Mid-Year,2,1.16,1.24,Low,3,No,2023,2
441,2021-12-15,Annual,2,1.48,2.31,Low,3,No,2021,4
441,2022-06-15,Mid-Year,4,2.85,3.19,Medium,10,No,2022,2
441,2022-12-15,Annual,4,2.99,2.81,Low,10,Yes,2022,4
441,2023-06-15,Mid-Year,1,1.0,1.0,Medium,0,No,2023,2
442,2021-12-15,Annual,3,2.45,2.04,Medium,6,No,2021,4
442,2022-06-15,Mid-Year,4,3.74,3.52,Medium,10,Yes,2022,2
442,2022-12-15,Annual,3,2.11,2.5,Medium,6,No,2022,4
442,2023-06-15,Mid-Year,3,2.72,2.75,High,6,No,2023,2
444,2021-12-15,Annual,3,2.94,1.91,High,6,No,2021,4
444,2022-06-15,Mid-Year,4,3.39,3.61,Medium,10,No,2022,2
444,2022-12-15,Annual,5,3.85,4.69,Medium,15,No,2022,4
444,2023-06-15,Mid-Year,4,3.65,3.11,Low,10,No,2023,2
445,2021-12-15,Annual,4,2.88,3.29,High,10,Yes,2021,4
445,2022-06-15,Mid-Year,3,2.53,2.12,Low,6,Yes,2022,2
445,2022-12-15,Annual,2,1.72,1.64,Medium,3,No,2022,4
445,2023-06-15,Mid-Year,2,1.52,2.16,Medium,3,No,2023,2
446,2021-12-15,Annual,3,3.0,2.99,Medium,6,No,2021,4
446,2022-06-15,Mid-Year,4,3.19,3.69,High,10,No,2022,2
446,2022-12-15,Annual,3,2.7,2.0,Medium,6,No,2022,4
446,2023-06-15,Mid-Year,3,2.0,3.04,High,6,No,2023,2
447,2021-12-15,Annual,3,2.25,2.68,Medium,6,No,2021,4
447,2022-06-15,Mid-Year,3,1.58,2.95,Medium,6,No,2022,2
447,2022-12-15,Annual,3,2.44,2.96,Medium,6,No,2022,4
447,2023-06-15,Mid-Year,5,3.37,4.36,Medium,15,No,2023,2
448,2021-12-15,Annual,3,2.39,1.19,High,6,No,2021,4
448,2022-06-15,Mid-Year,3,2.3,2.42,High,6,No,2022,2
448,2022-12-15,Annual,3,2.83,2.18,Medium,6,No,2022,4
448,2023-06-15,Mid-Year,3,2.37,3.46,Medium,6,Yes,2023,2
449,2021-12-15,Annual,4,3.02,3.14,Medium,10,No,2021,4
449,2022-06-15,Mid-Year,4,2.65,3.65,Medium,10,No,2022,2
449,2022-12-15,Annual,2,2.38,2.19,Medium,3,No,2022,4
449,2023-06-15,Mid-Year,3,2.51,1.96,Medium,6,No,2023,2
450,2021-12-15,Annual,5,4.25,3.53,High,15,No,2021,4
450,2022-06-15,Mid-Year,3,2.03,2.07,High,6,Yes,2022,2
450,2022-12-15,Annual,3,1.68,1.81,Medium,6,No,2022,4
450,2023-06-15,Mid-Year,4,3.17,3.41,Medium,10,Yes,2023,2
451,2021-12-15,Annual,4,3.54,3.15,Medium,10,No,2021,4
451,2022-06-15,Mid-Year,4,3.55,3.72,Medium,10,No,2022,2
451,2022-12-15,Annual,3,1.92,2.21,Medium,6,Yes,2022,4
451,2023-06-15,Mid-Year,3,2.66,2.27,High,6,No,2023,2
452,2021-12-15,Annual,2,1.69,1.37,Medium,3,No,2021,4
452,2022-06-15,Mid-Year,3,1.29,3.34,High,6,No,2022,2
452,2022-12-15,Annual,3,2.9,3.62,Medium,6,No,2022,4
452,2023-06-15,Mid-Year,5,4.52,4.25,Medium,15,No,2023,2
453,2021-12-15,Annual,5,3.99,5.0,Medium,15,No,2021,4
453,2022-06-15,Mid-Year,4,3.82,3.18,High,10,No,2022,2
453,2022-12-15,Annual,3,2.12,2.54,Medium,6,Yes,2022,4
453,2023-06-15,Mid-Year,3,2.57,2.37,Medium,6,No,2023,2
454,2021-12-15,Annual,3,2.46,2.5,High,6,No,2021,4
454,2022-06-15,Mid-Year,3,2.91,2.88,High,6,No,2022,2
454,2022-12-15,Annual,3,2.03,2.36,Medium,6,No,2022,4
454,2023-06-15,Mid-Year,3,2.39,2.07,Medium,6,Yes,2023,2
455,2021-12-15,Annual,4,2.74,3.26,Medium,10,No,2021,4
455,2022-06-15,Mid-Year,5,3.77,3.68,Medium,15,No,2022,2
455,2022-12-15,Annual,4,3.57,3.38,High,10,No,2022,4
455,2023-06-15,Mid-Year,3,1.97,2.9,Medium,6,No,2023,2
456,2021-12-15,Annual,4,3.51,3.1,High,10,No,2021,4
456,2022-06-15,Mid-Year,3,2.82,2.67,Low,6,Yes,2022,2
456,2022-12-15,Annual,2,2.11,1.0,Medium,3,No,2022,4
456,2023-06-15,Mid-Year,3,2.62,2.72,Medium,6,No,2023,2
458,2021-12-15,Annual,3,2.42,1.54,Medium,6,No,2021,4
458,2022-06-15,Mid-Year,3,2.22,2.15,Medium,6,Yes,2022,2
458,2022-12-15,Annual,3,2.02,1.82,High,6,No,2022,4
458,2023-06-15,Mid-Year,4,3.17,2.77,Medium,10,Yes,2023,2
460,2021-12-15,Annual,3,2.53,2.2,Medium,6,No,2021,4
460,2022-06-15,Mid-Year,4,3.42,3.7,Low,10,No,2022,2
460,2022-12-15,Annual,3,2.97,1.63,High,6,No,2022,4
460,2023-06-15,Mid-Year,3,2.44,2.22,Medium,6,No,2023,2
461,2021-12-15,Annual,4,3.55,3.03,Medium,10,No,2021,4
461,2022-06-15,Mid-Year,3,2.23,2.24,High,6,No,2022,2
461,2022-12-15,Annual,3,2.78,1.8,High,6,No,2022,4
461,2023-06-15,Mid-Year,3,2.26,2.58,Medium,6,Yes,2023,2
462,2021-12-15,Annual,3,2.38,2.81,Medium,6,No,2021,4
462,2022-06-15,Mid-Year,5,3.49,4.83,Medium,15,No,2022,2
462,2022-12-15,Annual,4,3.23,3.68,Low,10,No,2022,4
462,2023-06-15,Mid-Year,4,3.38,3.53,Low,10,No,2023,2
463,2021-12-15,Annual,3,2.54,2.29,Medium,6,Yes,2021,4
463,2022-06-15,Mid-Year,3,1.81,1.99,Medium,6,No,2022,2
463,2022-12-15,Annual,3,2.7,1.32,Medium,6,No,2022,4
463,2023-06-15,Mid-Year,3,2.4,2.38,Medium,6,No,2023,2
464,2021-12-15,Annual,5,3.59,3.44,Low,15,No,2021,4
464,2022-06-15,Mid-Year,3,2.48,2.68,Medium,6,No,2022,2
464,2022-12-15,Annual,4,3.03,4.05,High,10,No,2022,4
464,2023-06-15,Mid-Year,3,2.74,2.69,Low,6,No,2023,2
465,2021-12-15,Annual,3,2.66,1.95,Medium,6,No,2021,4
465,2022-06-15,Mid-Year,3,2.13,2.8,Medium,6,Yes,2022,2
465,2022-12-15,Annual,2,1.47,1.68,Medium,3,No,2022,4
465,2023-06-15,Mid-Year,4,3.71,3.85,Medium,10,No,2023,2
466,2021-12-15,Annual,3,2.53,2.48,Medium,6,No,2021,4
466,2022-06-15,Mid-Year,3,2.18,3.06,Medium,6,No,2022,2
466,2022-12-15,Annual,3,2.85,1.97,Medium,6,No,2022,4
466,2023-06-15,Mid-Year,3,2.16,3.03,Low,6,No,2023,2
467,2021-12-15,Annual,3,2.24,2.28,Medium,6,No,2021,4
467,2022-06-15,Mid-Year,3,2.64,1.53,High,6,No,2022,2
467,2022-12-15,Annual,5,3.99,4.06,Medium,15,No,2022,4
467,2023-06-15,Mid-Year,2,1.97,1.63,Medium,3,No,2023,2
468,2021-12-15,Annual,3,2.28,1.9,Medium,6,No,2021,4
468,2022-06-15,Mid-Year,4,2.57,3.21,Medium,10,Yes,2022,2
468,2022-12-15,Annual,5,3.35,5.0,High,15,No,2022,4
468,2023-06-15,Mid-Year,3,2.38,3.12,Medium,6,No,2023,2
469,2021-12-15,Annual,4,3.3,4.01,High,10,No,2021,4
469,2022-06-15,Mid-Year,4,3.5,3.12,Medium,10,Yes,2022,2
469,2022-12-15,Annual,4,3.7,3.96,Medium,10,No,2022,4
469,2023-06-15,Mid-Year,5,4.2,3.85,High,15,Yes,2023,2
470,2021-12-15,Annual,4,3.63,3.27,Medium,10,No,2021,4
470,2022-06-15,Mid-Year,3,2.41,2.77,Medium,6,No,2022,2
470,2022-12-15,Annual,2,1.43,2.47,Medium,3,No,2022,4
470,2023-06-15,Mid-Year,3,1.65,2.73,Low,6,No,2023,2
471,2021-12-15,Annual,2,1.07,1.28,Medium,3,No,2021,4
471,2022-06-15,Mid-Year,4,3.63,3.93,Medium,10,No,2022,2
471,2022-12-15,Annual,3,2.22,1.57,Medium,6,No,2022,4
471,2023-06-15,Mid-Year,3,2.7,2.22,Low,6,No,2023,2
473,2021-12-15,Annual,3,2.17,2.68,Medium,6,No,2021,4
473,2022-06-15,Mid-Year,3,1.75,2.41,Medium,6,No,2022,2
473,2022-12-15,Annual,3,2.03,2.76,Medium,6,No,2022,4
473,2023-06-15,Mid-Year,3,2.48,2.49,Low,6,No,2023,2
474,2021-12-15,Annual,3,2.96,2.46,Medium,6,No,2021,4
474,2022-06-15,Mid-Year,4,3.16,2.51,High,10,No,2022,2
474,2022-12-15,Annual,3,2.01,2.91,Low,6,No,2022,4
474,2023-06-15,Mid-Year,3,3.06,3.02,Medium,6,No,2023,2
475,2021-12-15,Annual,3,2.53,1.65,Medium,6,No,2021,4
475,2022-06-15,Mid-Year,4,3.77,3.79,Medium,10,No,2022,2
475,2022-12-15,Annual,3,2.84,2.94,Medium,6,No,2022,4
475,2023-06-15,Mid-Year,3,2.78,2.33,Medium,6,Yes,2023,2
476,2021-12-15,Annual,3,1.9,2.51,High,6,No,2021,4
476,2022-06-15,Mid-Year,2,2.27,2.3,Medium,3,Yes,2022,2
476,2022-12-15,Annual,4,3.3,3.41,Low,10,No,2022,4
476,2023-06-15,Mid-Year,3,2.98,1.66,High,6,No,2023,2
477,2021-12-15,Annual,3,2.33,2.36,Medium,6,No,2021,4
477,2022-06-15,Mid-Year,4,3.48,3.42,Medium,10,No,2022,2
477,2022-12-15,Annual,2,2.12,1.57,Medium,3,No,2022,4
477,2023-06-15,Mid-Year,3,2.73,2.72,Medium,6,No,2023,2
478,2021-12-15,Annual,2,1.32,1.86,Low,3,Yes,2021,4
478,2022-06-15,Mid-Year,3,1.97,2.22,Low,6,No,2022,2
478,2022-12-15,Annual,2,1.39,1.75,Medium,3,Yes,2022,4
478,2023-06-15,Mid-Year,3,2.57,2.33,Medium,6,No,2023,2
479,2021-12-15,Annual,3,2.78,2.58,Medium,6,Yes,2021,4
479,2022-06-15,Mid-Year,3,2.88,2.21,High,6,No,2022,2
479,2022-12-15,Annual,3,2.96,2.8,High,6,No,2022,4
479,2023-06-15,Mid-Year,3,2.21,2.25,Medium,6,No,2023,2
481,2021-12-15,Annual,4,2.92,2.4,Medium,10,Yes,2021,4
481,2022-06-15,Mid-Year,4,2.87,3.39,Medium,10,No,2022,2
481,2022-12-15,Annual,3,2.28,2.0,High,6,No,2022,4
